Created by Sam Guyette
Date and time of script execution: 2019-07-11 11:13:41

Condensed Table
*Free Shipping
,Website,SSCT3270SR,SSCT3270SP,SSCT5270SR,SSCT5270DR,SSCT7270SR,SSCT3170SR,SSCT5170SR,SSCT3470SR,SSCT5470SR,DDJT120,DDJT520_E,DDJT520_24,DDJT520_36,DDJT130,DDJT525_24,DDJT525_36,DDJT530,IIPF670,IIPF670E,
US,Spectraflow,,,,,,,,,,,,,,,,,,,,
US,Shades of Paper,,,,,,,,,,,,,,,,,,,,
US,ProImaging Supplies,,,,,,,,,,,,,,,,,,,,
US,All American,,,,,,,,,,,,,,,,,,,,
US,Buffalo,,,,,,,,,,,,,,,,,,,,
US,LexJet,,,,,,,,,,,,,,,,,,,,
US,Laube,,,,,,,,,,,,,,,,,,,,
US,Imaging Spectrum,,,,,,,,,,,,,,,,,,,,
US,ITSupplies,,,,,,,,,,,,,,,,,,,,
US,CDW,,,,,,,,,,,,,,,,,,,,
US,Zones,,,,,,,,,,,,,,,,,,,,
CA,Grand&Toy,,,,,,,,,,,,,,,,,,,,
US,shi,,,,,,,,,,,,,,,,,,,,
US,MacMall,,,,,,,,,,,,,,,,,,,,
US,Amazon,,,,,,,,,,,,,,,,,,,,
US,PC Connection,,,,,,,,,,,,,,,,,,,,
US,Plotter Pro,,,,,,,,,,,,,,,,,,,,
US,GoVets,,,,,,,,,,,,,,,,,,,,
US,Adorama,,,,,,,,,,,,,,,,,,,,
US,Tiger Direct,,,,,,,,,,,,,,,,,,,,
US,HP,,,,,,,,,,,,,,,,,,,,
US,PCNation,,,,,,,,,,,,,,,,,,,,
US,Overland Blueprint,,,,,,,,,,,,,,,,,,,,
US,Tartar Supply,,,,,,,,,,,,,,,,,,,,
CA,Vistek,,,,,,,,,,,,,,,,,,,,
US,Dell,,,,,,,,,,,,,,,,,,,,
US,BuyVPC,,,,,,,,,,,,,,,,,,,,
CA,Epson.ca,$2995.00 H ,$4195.00 H ,$4795.00 H ,$7195.00 H ,$5995.00 H ,$1165.00 H ,$2465.00 H ,$2465.00 H ,,,,,,,,,,,,
US,Epson,$1620.00 L ,$3495.00 H ,$1980.00 L ,$2860.00 L ,$6995.00 H ,$895.00,$1895.00,$1895.00,$2345.00 L ,,,,,,,,,,,
US,Walmart,,,,,,,,,,$649.00,$2495.00*,,,,,,,,$1192.99*,
US,B&H,$2545.00*,,$3195.00*,$4595.00,$5295.00 H *,$895.00*,$1895.00*,$1895.00,$2345.00 L ,$549.99*,,$1250.00*,$339.00,,,,,,,
US,NewEgg,,,,,,,,,,,,$1250*,,,,,,,$849*,
US,Staples,,,$3695.99 H ,,,$1101.49 H ,$2159.99 H ,,$2495.99 H ,,,,,,,,,,,





Super Table
Channel, Country, Website, Company, Category, Name, SKU, Price, Shipping
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3270 Screen Print Edition Printer ,SSCT3270SP, $4195.00, 
E-Commerce,US,B&H,Epson,Printer,Surecolor T3270 24 Large-Format Inkjet Printer ,SSCT3270SR, $2545.00,Free Shipping
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3470 Printer Printer ,SSCT3470SR, $2465.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3170 Wireless Printer Printer ,SSCT3170SR, $1165.00, 
E-Commerce,US,B&H,HP,Printer,Designjet T520 36 Large-Format Inkjet Printer ,DDJT520_36, $2495.00,Shipping Charges Apply 
E-Commerce,US,B&H,HP,Printer,Designjet T120 24 Professional Printer ,DDJT120PRO, $999.99,Free Shipping
E-Commerce,US,B&H,HP,Printer,Designjet T520 24 Large-Format Inkjet Printer ,DDJT520_24, $1250.00,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T520 2400 X 1200 Dpi Color Print Quality Wi-Fi Thermal Inkjet Designjet Color Inkjet Printer ,DDJT520_24, $1250,Free Shipping
E-Commerce,US,B&H,HP,Printer,Designjet T120 24 Large-Format Inkjet Printer ,DDJT120, $549.99,Free Shipping
E-Commerce,US,Epson,Epson,Printer,Surecolor T3470 Printer Printer ,SSCT3470SR, $1895.00, 
E-Commerce,US,Epson,Epson,Printer,Surecolor F6200 Printer ,, $8495.00, 
E-Commerce,US,Epson,Epson,Printer,Surecolor S80600 Printer Printer ,, $24995.00, 
E-Commerce,US,Epson,Epson,Printer,Surecolor T5270 Single Roll Edition Printer ,SSCT5270SR, $3995.00, 
E-Commerce,US,Walmart,HP,Printer,HP Designjet T120 24-In Printer ,DDJT120, $649.00,No_Data 
E-Commerce,US,Epson,Epson,Printer,Surecolor F9370 Printer ,, $27995.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5470 M Printer And Scanner Printer ,SSCT5470SR, , 
E-Commerce,US,Walmart,HP,Printer,HP Designjet T120 24 Large-Format Inkjet Printer Office Bundle ,DDJT120BUNDLE, $909.99,No_Data 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T7270 Single Roll Edition Printer ,SSCT7270SR, $5995.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5270 D Dual Roll Edition Printer ,SSCT5270DR, $7195.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T7270 D Dual Roll Edition Printer ,SSCT7270SR, $8395.00, 
E-Commerce,US,B&H,Epson,Printer,Surecolor T7270 D 44 Dual Roll Large-Format Inkjet Printer ,SSCT7270SR, $5295.00,Free Shipping
E-Commerce,US,B&H,Epson,Printer,Surecolor T3170 24 Wireless Inkjet Printer ,SSCT3170SR, $895.00,Free Shipping
E-Commerce,US,B&H,Epson,Printer,Surecolor T5270 36 Large-Format Inkjet Printer ,SSCT5270SR, $3195.00,Free Shipping
E-Commerce,US,B&H,Epson,Printer,Surecolor T5270 D 36 Dual Roll Large-Format Inkjet Printer ,SSCT5270DR, $4595.00,Shipping Charges Apply 
E-Commerce,US,Epson,Epson,Printer,Surecolor S60600 Printer ,, $22995.00, 
E-Commerce,US,B&H,Epson,Printer,Surecolor T7270 D 44 Dual Roll Large-Format Inkjet Printer ,SSCT7270SR, $5295.00,Free Shipping
E-Commerce,US,B&H,Epson,Printer,Surecolor T7270 44 Large-Format Inkjet Printer ,SSCT7270SR, $3595.00,Free Shipping
E-Commerce,US,Walmart,HP,Printer,HP Designjet T520 36 Large-Format Inkjet Printer Office Bundle ,DDJT520BUNDLE, $4431.99,No_Data 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5270 Single Roll Edition Printer ,SSCT5270SR, $4795.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5470 Printer Printer ,SSCT5470SR, $3165.00, 
E-Commerce,US,Walmart,Canon,Printer,Canon Imageprograf IPF670 ELarge-Format Printer Color Ink-Jet ,IIPF670E, $1192.99,Free Shipping
E-Commerce,US,Staples,Epson,Ink,Epson 324 Ultrachrome Hg2 Orange Ink Cartridge ,, $18.79, 
E-Commerce,US,B&H,Epson,Ink,Pjic4-M Magenta Ink Cartridge For The Pp-100 Discproducer Auto Printer  ,SCT44SCAN, $41.95,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Magenta Ink Cartridge (350 Ml) ,C13S400064, $161.00,Free Shipping
E-Commerce,US,Staples,HP,Ink,HP 711 Magenta Ink Cartridge29 Ml ,, $31.09, 
E-Commerce,US,Staples,HP,Ink,HP 711 Yellow Ink Cartridge29 Ml ,, $29.92, 
E-Commerce,US,Staples,Epson,Ink,Epson 324 Ultrachrome Hg2 Matte Black Ink Cartridge ,, $18.79, 
E-Commerce,US,Staples,HP,Ink,HP 711 Black Ink Cartridge ,, $58.23, 
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Cyan Ink Cartridge (350 Ml) ,EPC13S400064, $161.00,Free Shipping
E-Commerce,US,Staples,HP,Ink,HP 711 Cyan Ink Cartridge29 Ml ,, $29.92, 
E-Commerce,US,Staples,HP,Ink,HP 711 Black Ink Cartridge38 Ml ,, $35.88, 
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 W Yellow High-Capacity Ink Cartridge (50 Ml) ,EPC13S210055, $39.95,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Yellow Ink Cartridge (350 Ml) ,EPPT3454B1, $161.00,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 W Cyan High-Capacity Ink Cartridge (50 Ml) ,C12C933131, $39.95,Free Shipping
E-Commerce,US,Staples,HP,Ink,HP 711 Yellow Ink Cartridges3/Pack29 Ml ,, $62.29, 
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Magenta Ink Cartridge (350 Ml) ,C13S400064, $161.00,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 W Magenta Ink Cartridge (110 Ml) ,T41P220, $66.00,Free Shipping
E-Commerce,US,Walmart,HP,Ink,HP 711 38-Ml Black Designjet Ink Cartridge ,, Price Range$35To35,No_Data 
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 W Black High-Capacity Ink Cartridge (80 Ml) ,EPC12C933131, $54.95,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Cyan Ink Cartridge (350 Ml) ,EPC13S400064, $161.00,Free Shipping
E-Commerce,US,B&H,HP,Ink,711 Magenta Ink Cartridge (29 Ml) ,HEHP71138B, $29.92,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 W Yellow High-Capacity Ink Cartridge (50 Ml) ,EPC13S210055, $39.95,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 V Magenta Ink Cartridge (26 Ml) ,T40W120, $25.95,Free Shipping
E-Commerce,US,B&H,HP,Ink,711 Black Ink Cartridge (80 Ml) ,C1860A, $58.33,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 V Yellow Ink Cartridge (26 Ml) ,EPT40W320, $25.95,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 W Black Ink Cartridge (110 Ml) ,T41P320, $66.00,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 V Black Ink Cartridge (50 Ml) ,EPT40W220, $39.95,Free Shipping
E-Commerce,US,B&H,HP,Ink,711 Black Ink Cartridge (38 Ml) ,HEBWB24150, $35.98,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T41 P High-Capacity Yellow Ink Cartridge (350 Ml) ,EPPT3454B1, $161.00,Free Shipping
E-Commerce,US,B&H,Epson,Ink,T850600 Ultrachrome Hd Vivid Light Magenta Ink Cartridge (80 Ml) ,C13S210055, $58.00,Free Shipping
E-Commerce,US,B&H,Epson,Ink,Ultrachrome Xd2 T40 V Cyan Ink Cartridge (26 Ml) ,EPT40W120, $25.95,Free Shipping
E-Commerce,US,Staples,Epson,Ink,Epson 324 Yellow Ink Cartridge Standard ,, $18.79, 
